,,,608,,,,,
1,-1.339575107,-0.824353912,1.005309649,-2.22E-12,,,,
1.01,-1.329522011,-0.779114978,1.005309649,25.13274123,,,,
1.02,-1.319468915,-0.73136277,1.256637061,25.13274123,,,,
1.03,-1.306902544,-0.681097287,1.507964474,25.13274123,,,,
1.04,-1.291822899,-0.630831805,1.759291886,25.13274123,,,,
1.05,-1.27422998,-0.580566322,2.010619298,2.22E-12,,,,
1.06,-1.254123787,-0.525274292,2.010619298,50.26548246,,,,
1.07,-1.234017594,-0.472495535,2.513274123,-4.44E-12,,,,
1.08,-1.208884853,-0.41469023,2.513274123,25.13274123,,,,
1.09,-1.183752112,-0.3593982,2.764601535,50.26548246,,,,
1.1,-1.156106097,-0.301592895,3.26725636,-50.26548246,,,,
1.11,-1.123433533,-0.24378759,2.764601535,75.39822369,,,,
1.12,-1.095787518,-0.183469011,3.518583772,25.13274123,,,,
1.13,-1.06060168,-0.125663706,3.769911184,-1.11E-12,,,,
1.14,-1.022902568,-0.065345127,3.769911184,25.13274123,,,,
1.15,-0.985203456,-0.007539822,4.021238597,25.13274123,,,,
1.16,-0.94499107,0.052778757,4.272566009,25.13274123,,,,
1.17,-0.90226541,0.110584061,4.523893421,25.13274123,,,,
1.18,-0.857026476,0.168389366,4.775220833,0,,,,
1.19,-0.809274268,0.226194671,4.775220833,25.13274123,,,,
1.2,-0.761522059,0.283999976,5.026548246,2.22E-12,,,,
1.21,-0.711256577,0.341805281,5.026548246,25.13274123,,,,
1.22,-0.660991094,0.397097311,5.277875658,0,,,,
1.23,-0.608212338,0.449876068,5.277875658,25.13274123,,,,
1.24,-0.555433581,0.502654825,5.52920307,25.13274123,,,,
1.25,-0.50014155,0.555433581,5.780530483,-25.13274123,,,,
1.26,-0.442336246,0.605699064,5.52920307,25.13274123,,,,
1.27,-0.387044215,0.653451272,5.780530483,25.13274123,,,,
1.28,-0.32923891,0.696176932,6.031857895,-25.13274123,,,,
1.29,-0.268920331,0.736389318,5.780530483,25.13274123,,,,
1.3,-0.211115026,0.784141526,6.031857895,0,,,,
1.31,-0.150796447,0.821840638,6.031857895,-8.88E-14,,,,
1.32,-0.090477868,0.862053024,6.031857895,-25.13274123,,,,
1.33,-0.030159289,0.899752136,5.780530483,25.13274123,,,,
1.34,0.027646015,0.934937974,6.031857895,-25.13274123,,,,
1.35,0.087964594,0.967610537,5.780530483,-2.66E-13,,,,
1.36,0.145769899,0.997769827,5.780530483,1.33E-11,,,,
1.37,0.203575204,1.025415842,5.780530483,-1.33E-11,,,,
1.38,0.261380509,1.053061857,5.780530483,-25.13274123,,,,
1.39,0.319185814,1.078194599,5.52920307,-25.13274123,,,,
1.4,0.374477844,1.100814066,5.277875658,-5.33E-13,,,,
1.41,0.427256601,1.118406985,5.277875658,5.33E-13,,,,
1.42,0.480035357,1.135999904,5.277875658,-25.13274123,,,,
1.43,0.532814114,1.151079548,5.026548246,-25.13274123,,,,
1.44,0.583079597,1.161132645,4.775220833,-25.13274123,,,,
1.45,0.630831805,1.171185741,4.523893421,-25.13274123,,,,
1.46,0.676070739,1.17621229,4.272566009,0,,,,
1.47,0.718796399,1.181238838,4.272566009,-25.13274123,,,,
1.48,0.761522059,1.183752112,4.021238597,-25.13274123,,,,
1.49,0.801734445,1.183752112,3.769911184,-25.13274123,,,,
1.5,0.839433557,1.178725564,3.518583772,-25.13274123,,,,
1.51,0.874619395,1.173699015,3.26725636,-50.26548246,,,,
1.52,0.907291958,1.166159193,2.764601535,0,,,,
1.53,0.934937974,1.156106097,2.764601535,-25.13274123,,,,
1.54,0.962583989,1.143539726,2.513274123,-1.11E-12,,,,
1.55,0.98771673,1.128460081,2.513274123,-50.26548246,,,,
1.56,1.012849472,1.110867162,2.010619298,-25.13274123,,,,
1.57,1.032955665,1.090760969,1.759291886,-25.13274123,,,,
1.58,1.050548583,1.068141502,1.507964474,-25.13274123,,,,
1.59,1.065628228,1.045522035,1.256637061,-25.13274123,,,,
1.6,1.078194599,1.01787602,1.005309649,-25.13274123,,,,
1.61,1.088247695,0.992743279,0.753982237,-25.13274123,,,,
1.62,1.095787518,0.962583989,0.502654825,-25.13274123,,,,
